Question Report,,,,,
Report Generated:,3/27/2023 10:07,,,,
Topic,Webinar ID,Actual Start Time,Actual Duration (minutes),# Question,
Project Management Professional (PMP) ATP Bootcamp: 5 Day Cohort,938 5686 0131,3/20/2023 9:00,545,1657,
Question Details,,,,,
#,Question,Asker Name,Asker Email,Answer,Answer Name
1,How do I enter my name using Zoom?,Nivedita Sinha,'-,How do I enter my name using Zoom?,Nivedita Sinha
1,How do I enter my name using Zoom?,Nivedita Sinha,'-,"If you are using the Zoom link, you should be prompted.",Carl Mullin
2,Test,Andersen Schück,'-,Test,Andersen Schück
3,Test,Kirsten Graham,'-,Test,Kirsten Graham
4,Test,Eric Holzbierlein,'-,Test,Eric Holzbierlein
5,Test,Steven Conley,'-,Test,Steven Conley
6,Test,Paul Glenn,'-,Test,Paul Glenn
7,Test,Michela Grant,'-,Test,Michela Grant
8,test,Justin Armstrong,'-,test,Justin Armstrong
9,Test,Toteana Frazier,'-,Test,Toteana Frazier
10,Test,Miguel Buenaflor,'-,Test,Miguel Buenaflor
11,'@Nivedita I can see your name so it looks like you're set up correctly for your name to be seen.,David Folkerts,'-,'@Nivedita I can see your name so it looks like you're set up correctly for your name to be seen.,David Folkerts
12,Test,Keenan O'Connor,'-,Test,Keenan O'Connor
13,test,Charles Hill,'-,test,Charles Hill
14,Good morning ,Angel Cano,'-,Good morning ,Angel Cano
15,test,Muneeb Mohammed,'-,test,Muneeb Mohammed
16,Test,Stephen Dixon,'-,Test,Stephen Dixon
17,test,Seth Lambert,'-,test,Seth Lambert
18,Test,Michael Schutte,'-,Test,Michael Schutte
19,Test,La Shelle Pearson,'-,Test,La Shelle Pearson
20,ca,Jamaal Brice,'-,ca,Jamaal Brice
21,test,Robert Oprosky,'-,test,Robert Oprosky
22,Test,Evelyn Rico,'-,Test,Evelyn Rico
23,"Hi, can anyone see my name ? ",Victoria Jarzen,'-,"Hi, can anyone see my name ? ",Victoria Jarzen
24,test,Halei Wright,'-,test,Halei Wright
25,test,RAYMOND CAMPBELL,'-,test,RAYMOND CAMPBELL
26,testing name,Garrett Gozdur,'-,testing name,Garrett Gozdur
27,Test ,Kayla Brooke,'-,Test ,Kayla Brooke
28,morning all. ,John Lee,'-,morning all. ,John Lee
29,test,Eric Smith,'-,test,Eric Smith
30,Can you see my name?,Virginie Morin,'-,Can you see my name?,Virginie Morin
31,Test,Seth Fox,'-,Test,Seth Fox
32,hi,Jamaal Brice,'-,hi,Jamaal Brice
33,Test,Dwight Saunders,'-,Test,Dwight Saunders
34,test,BRIELLE NIGH,'-,test,BRIELLE NIGH
35,Good morning!,An Nguyen,'-,Good morning!,An Nguyen
36,Test,Paul Butler,'-,Test,Paul Butler
37,Good morning,Austin Miles,'-,Good morning,Austin Miles
38,Test,Julie Shearman,'-,Test,Julie Shearman
39,Test,Wendy Anderson,'-,Test,Wendy Anderson
40,test,Brandt Zykan,'-,test,Brandt Zykan
41,Checking to see if anyone can see my name - Alecia Perdue.  Thx!,Alecia Perdue,'-,Checking to see if anyone can see my name - Alecia Perdue.  Thx!,Alecia Perdue
42,test,Alejandra Medina-Cruz,'-,test,Alejandra Medina-Cruz
43,Test,Nafia Tabassum,'-,Test,Nafia Tabassum
44,Test,James Palmer,'-,Test,James Palmer
45,test ,Billisue Danish,'-,test ,Billisue Danish
46,TEST-TEST,Michael Monroe,'-,TEST-TEST,Michael Monroe
47,test,Marina Biberi,'-,test,Marina Biberi
48,Test,Brandy Skeldon,'-,Test,Brandy Skeldon
49,Test,Ryan Augustine,'-,Test,Ryan Augustine
50,How do I get the Zoom link?,Kelly Weaver,'-,How do I get the Zoom link?,Kelly Weaver
